1, 11.940, 4.7443, 4.7333, 0.9237
2, 23.900, 4.7443, 4.7204, 0.9999 
3, 35.588, 4.7442, 4.7102, 0.9567
4, 47.050, 4.7440, 4.6969, 0.9996
5, 58.635, 4.7439, 4.6864, 0.9808
6, 70.164, 4.7436, 4.6739, 0.9934
7, 81.665, 4.7434, 4.6647, 0.9644
8, 93.135, 4.7434, 4.6548, 0.9515
9, 104.004, 4.7434, 4.6419, 0.9763
10, 115.224, 4.7435, 4.6331, 0.9585
11, 126.478, 4.7435, 4.6219, 0.9615
12, 137.464, 4.7436, 4.6099, 0.9731
13, 148.660, 4.7436, 4.6006, 0.9624
14, 159.808, 4.7435, 4.5886, 0.9689
15, 171.008, 4.7437, 4.5783, 0.9670
16, 182.815, 4.7437, 4.5687, 0.9571
17, 194.903, 4.7438, 4.5563, 0.9618
18, 208.189, 4.7437, 4.5446, 0.9560
19, 227.082, 4.7439, 4.5320, 0.9333
20, 237.792, 4.7439, 4.5167, 0.9553
